epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.9823576807975769,0.9961903691291809,260.0,422.0,0.03684202954173088,0.978380024433136,0.9865681529045105,18878.0,19097.0,0.9343012571334839,0.9689915776252747,93.0,88.0,0.2768928110599518,0.9362319111824036,0.9328519701957703,1282.0,1292.0
1,0.9899301528930664,0.9989732503890991,107.0,115.0,0.02948705106973648,0.9895748496055603,0.990293025970459,10908.0,10916.0,0.9139745831489563,0.9728049039840698,180.0,57.0,0.26182955503463745,0.9550827145576477,0.8706896305084229,1306.0,1212.0
2,0.9911094903945923,0.9992560148239136,102.0,94.0,0.025397881865501404,0.9914684891700745,0.9907491207122803,10926.0,10924.0,0.9441016316413879,0.9721915125846863,49.0,105.0,0.2707267701625824,0.9274861812591553,0.9647988677024841,1258.0,1343.0
0,0.9859996438026428,0.9965372681617737,151.0,224.0,0.028040388599038124,0.9834233522415161,0.9887648820877075,13121.0,13289.0,0.9281306862831116,0.9726154804229736,146.0,52.0,0.29882168769836426,0.9599074721336365,0.8950395584106445,1312.0,1245.0
1,0.992152750492096,0.9991665482521057,85.0,88.0,0.02317342907190323,0.9920210242271423,0.9922909736633301,10932.0,10941.0,0.9419237971305847,0.9718633890151978,63.0,97.0,0.27734896540641785,0.9315454959869385,0.9544468522071838,1275.0,1320.0
2,0.9949197173118591,0.9996262788772583,56.0,56.0,0.01571347378194332,0.9949197173118591,0.9949197173118591,10967.0,10967.0,0.9419237971305847,0.9673762917518616,39.0,121.0,0.42436280846595764,0.9169526696205139,0.9716363549232483,1259.0,1336.0
3,0.994239330291748,0.9995677471160889,60.0,67.0,0.016476429998874664,0.9939267635345459,0.994557797908783,10954.0,10965.0,0.9509981870651245,0.9729450941085815,57.0,78.0,0.29825371503829956,0.9449929594993591,0.9591982960700989,1280.0,1340.0
4,0.9940125346183777,0.9993131756782532,65.0,67.0,0.01886894926428795,0.9939228892326355,0.9941032528877258,10956.0,10958.0,0.9393829107284546,0.9717383980751038,102.0,65.0,0.30102723836898804,0.9519941210746765,0.9266714453697205,1299.0,1289.0
